Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.64
4                       1.27
8                       2.44
16                      4.58
32                      8.52
64                     16.82
128                    32.52
256                    61.15
512                   109.16
1024                  184.90
2048                  288.59
4096                  452.55
8192                  686.39
16384                 837.91
32768                 876.00
65536                 998.14
131072               1492.66
262144               1740.37
524288               1808.08
1048576              1841.08
2097152              1856.68
4194304              1863.21
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.47
4                       1.25
8                       2.49
16                      4.67
32                      8.68
64                     16.33
128                    31.47
256                    57.89
512                   108.87
1024                  184.81
2048                  289.48
4096                  488.29
8192                  683.44
16384                 877.39
32768                 846.03
65536                 974.46
131072               1494.72
262144               1618.04
524288               1644.99
1048576              1834.03
2097152              1869.85
4194304              1879.90
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.50
4                       1.26
8                       2.49
16                      4.67
32                      8.64
64                     16.59
128                    32.89
256                    60.54
512                   108.72
1024                  190.32
2048                  271.14
4096                  452.16
8192                  709.97
16384                 879.46
32768                 920.54
65536                1032.01
131072               1511.49
262144               1677.68
524288               1656.53
1048576              1663.55
2097152              1669.39
4194304              1669.24
