Size,Measure,CNI,Nodes,Benchmark
65536,110.79,baremetal,2,multi-latency
131072,145.39,baremetal,2,multi-latency
262144,173.75,baremetal,2,multi-latency
524288,287.08,baremetal,2,multi-latency
1048576,575.89,baremetal,2,multi-latency
2097152,1078.2,baremetal,2,multi-latency
4194304,1987.06,baremetal,2,multi-latency
1,32.46,baremetal,2,multi-latency
2,29.79,baremetal,2,multi-latency
4,35.53,baremetal,2,multi-latency
8,29.18,baremetal,2,multi-latency
16,36.2,baremetal,2,multi-latency
32,31.59,baremetal,2,multi-latency
64,24.62,baremetal,2,multi-latency
128,31.85,baremetal,2,multi-latency
256,34.73,baremetal,2,multi-latency
512,33.12,baremetal,2,multi-latency
1024,31.85,baremetal,2,multi-latency
2048,42.87,baremetal,2,multi-latency
4096,43.26,baremetal,2,multi-latency
8192,44.84,baremetal,2,multi-latency
16384,49.3,baremetal,2,multi-latency
32768,72.37,baremetal,2,multi-latency
65536,99.95,baremetal,2,multi-latency
131072,145.42,baremetal,2,multi-latency
262144,173.93,baremetal,2,multi-latency
524288,288.64,baremetal,2,multi-latency
1048576,617.54,baremetal,2,multi-latency
2097152,1100.55,baremetal,2,multi-latency
4194304,2011.07,baremetal,2,multi-latency
1,21.35,baremetal,2,multi-latency
2,21.33,baremetal,2,multi-latency
4,21.36,baremetal,2,multi-latency
8,21.34,baremetal,2,multi-latency
16,21.44,baremetal,2,multi-latency
32,21.3,baremetal,2,multi-latency
64,21.64,baremetal,2,multi-latency
128,21.84,baremetal,2,multi-latency
256,21.97,baremetal,2,multi-latency
512,22.17,baremetal,2,multi-latency
1024,23.26,baremetal,2,multi-latency
2048,39.06,baremetal,2,multi-latency
4096,39.66,baremetal,2,multi-latency
8192,40.7,baremetal,2,multi-latency
16384,51.06,baremetal,2,multi-latency
32768,73.4,baremetal,2,multi-latency
65536,89.69,baremetal,2,multi-latency
131072,145.18,baremetal,2,multi-latency
262144,175.63,baremetal,2,multi-latency
524288,327.67,baremetal,2,multi-latency
1048576,489.06,baremetal,2,multi-latency
2097152,964.36,baremetal,2,multi-latency
4194304,1747.23,baremetal,2,multi-latency
1,32.64,baremetal,2,multi-latency
2,36.3,baremetal,2,multi-latency
4,34.96,baremetal,2,multi-latency
8,36.01,baremetal,2,multi-latency
16,36.19,baremetal,2,multi-latency
32,32.25,baremetal,2,multi-latency
64,36.22,baremetal,2,multi-latency
128,33.0,baremetal,2,multi-latency
256,35.62,baremetal,2,multi-latency
512,27.93,baremetal,2,multi-latency
1024,30.56,baremetal,2,multi-latency
2048,42.93,baremetal,2,multi-latency
4096,43.82,baremetal,2,multi-latency
8192,45.94,baremetal,2,multi-latency
16384,50.84,baremetal,2,multi-latency
32768,72.53,baremetal,2,multi-latency
65536,82.88,baremetal,2,multi-latency
131072,145.44,baremetal,2,multi-latency
262144,184.7,baremetal,2,multi-latency
524288,273.51,baremetal,2,multi-latency
1048576,479.17,baremetal,2,multi-latency
2097152,822.28,baremetal,2,multi-latency
4194304,1653.95,baremetal,2,multi-latency
1,33.94,baremetal,2,multi-latency
2,36.03,baremetal,2,multi-latency
4,36.01,baremetal,2,multi-latency
8,35.98,baremetal,2,multi-latency
16,31.0,baremetal,2,multi-latency
32,35.48,baremetal,2,multi-latency
64,35.38,baremetal,2,multi-latency
128,36.16,baremetal,2,multi-latency
256,36.23,baremetal,2,multi-latency
512,33.35,baremetal,2,multi-latency
1024,33.71,baremetal,2,multi-latency
2048,43.05,baremetal,2,multi-latency
4096,43.0,baremetal,2,multi-latency
8192,45.66,baremetal,2,multi-latency
16384,50.45,baremetal,2,multi-latency
32768,71.84,baremetal,2,multi-latency
65536,100.58,baremetal,2,multi-latency
131072,145.45,baremetal,2,multi-latency
262144,193.05,baremetal,2,multi-latency
524288,284.56,baremetal,2,multi-latency
1048576,628.61,baremetal,2,multi-latency
2097152,1154.45,baremetal,2,multi-latency
4194304,2043.52,baremetal,2,multi-latency
1,35.7,baremetal,2,multi-latency
2,36.18,baremetal,2,multi-latency
4,35.99,baremetal,2,multi-latency
8,36.31,baremetal,2,multi-latency
16,26.31,baremetal,2,multi-latency
32,31.52,baremetal,2,multi-latency
64,34.66,baremetal,2,multi-latency
128,33.43,baremetal,2,multi-latency
256,27.69,baremetal,2,multi-latency
512,30.93,baremetal,2,multi-latency
1024,33.31,baremetal,2,multi-latency
2048,42.84,baremetal,2,multi-latency
4096,43.14,baremetal,2,multi-latency
8192,44.51,baremetal,2,multi-latency
16384,49.25,baremetal,2,multi-latency
32768,73.49,baremetal,2,multi-latency
65536,155.27,baremetal,2,multi-latency
131072,151.85,baremetal,2,multi-latency
262144,172.66,baremetal,2,multi-latency
524288,257.98,baremetal,2,multi-latency
1048576,461.04,baremetal,2,multi-latency
2097152,985.06,baremetal,2,multi-latency
4194304,1729.14,baremetal,2,multi-latency
1,33.07,baremetal,2,multi-latency
2,34.91,baremetal,2,multi-latency
4,33.05,baremetal,2,multi-latency
8,35.84,baremetal,2,multi-latency
16,35.68,baremetal,2,multi-latency
32,34.68,baremetal,2,multi-latency
64,35.98,baremetal,2,multi-latency
128,34.77,baremetal,2,multi-latency
256,32.58,baremetal,2,multi-latency
512,35.24,baremetal,2,multi-latency
1024,34.69,baremetal,2,multi-latency
2048,42.91,baremetal,2,multi-latency
4096,43.93,baremetal,2,multi-latency
8192,45.95,baremetal,2,multi-latency
16384,50.5,baremetal,2,multi-latency
32768,72.52,baremetal,2,multi-latency
65536,103.21,baremetal,2,multi-latency
131072,145.73,baremetal,2,multi-latency
262144,176.02,baremetal,2,multi-latency
524288,289.48,baremetal,2,multi-latency
