Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
128                    32.91         257101.24
256                    60.14         234928.92
512                   105.93         206889.81
1024                  178.83         174637.76
2048                  284.37         138854.89
4096                  444.56         108534.55
8192                  588.78          71872.33
16384                 750.24          45791.02
32768                 902.17          27532.13
65536                1366.88          20856.97
131072               1568.60          11967.48
262144               1617.48           6170.19
524288               1644.63           3136.88
1048576              1653.42           1576.83
2097152              1658.67            790.92
4194304              1660.78            395.96
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.26         263890.67
2                       0.57         284592.71
4                       1.16         290056.00
8                       2.26         281963.63
16                      4.48         280109.96
32                      8.91         278303.49
64                     16.98         265375.64
128                    32.68         255318.98
256                    58.13         227069.65
512                   107.67         210294.51
1024                  184.60         180271.89
2048                  310.57         151644.79
4096                  473.13         115510.95
8192                  672.07          82039.59
16384                 874.35          53365.88
32768                 982.16          29973.17
65536                1360.65          20761.93
131072               1524.85          11633.68
262144               1593.92           6080.31
524288               1625.82           3101.00
1048576              1635.24           1559.48
2097152              1847.62            881.01
4194304              1762.57            420.23
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.31         306304.53
2                       0.63         314227.08
4                       1.27         316655.27
8                       2.56         319793.54
16                      4.99         311815.76
32                     10.06         314440.43
64                     20.02         312850.75
128                    36.14         282382.28
256                    69.82         272736.16
512                   132.94         259648.22
1024                  257.72         251682.26
2048                  466.98         228018.06
4096                  778.35         190027.69
8192                 1083.06         132209.43
16384                1186.54          72420.73
32768                1053.02          32135.70
65536                1293.21          19732.83
131072               1398.15          10667.02
262144               1443.19           5505.35
524288               1480.11           2823.08
1048576              1527.69           1456.92
2097152              1558.48            743.14
4194304              1524.65            363.51
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         284527.87
2                       0.58         290444.30
4                       1.14         285906.21
8                       2.28         285101.37
16                      4.55         284501.04
32                      8.66         270778.90
64                     16.07         251121.09
128                    31.21         243814.65
256                    55.33         216130.57
512                   101.48         198196.81
1024                  183.21         178919.75
2048                  289.18         141202.79
4096                  462.85         113001.30
8192                  614.22          74978.48
16384                 743.69          45391.10
32768                 908.30          27719.10
65536                1346.63          20547.88
131072               1559.65          11899.20
262144               1620.28           6180.89
524288               1647.54           3142.44
1048576              1652.70           1576.14
2097152              1656.15            789.71
4194304              1658.46            395.41
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         251447.92
2                       0.47         232965.22
4                       1.08         270740.68
8                       2.11         263762.30
16                      4.66         291145.57
32                      8.71         272036.03
64                     15.86         247738.46
128                    31.25         244111.68
256                    56.02         218830.79
512                   101.70         198629.96
1024                  182.23         177957.38
2048                  270.62         132136.77
4096                  405.00          98877.96
8192                  593.40          72436.27
16384                 803.53          49043.78
32768                 932.35          28453.21
65536                1394.06          21271.64
131072               1657.17          12643.20
262144               1758.48           6708.06
524288               1827.76           3486.18
1048576              1863.65           1777.32
2097152              1884.41            898.56
4194304              1891.16            450.89
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.23         230794.50
2                       0.50         251839.14
4                       0.95         238039.16
8                       1.94         242131.67
16                      3.85         240593.17
32                      7.52         234847.61
64                     16.12         251903.74
128                    28.96         226254.78
256                    55.85         218176.20
512                   102.04         199291.18
1024                  183.50         179199.17
2048                  286.64         139960.40
4096                  428.34         104575.71
8192                  600.80          73339.42
16384                 788.84          48147.24
32768                 926.10          28262.29
65536                1403.05          21408.77
131072               1643.12          12536.03
262144               1740.03           6637.68
524288               1807.36           3447.27
1048576              1845.70           1760.19
2097152              1865.72            889.64
4194304              1874.07            446.81
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         283164.11
2                       0.57         282824.44
4                       1.13         281461.03
8                       2.26         282659.42
16                      4.54         283614.85
32                      8.87         277232.00
64                     16.71         261097.33
128                    30.69         239766.81
256                    53.08         207349.32
512                   100.82         196908.26
1024                  184.82         180490.79
2048                  289.15         141185.81
4096                  414.97         101310.85
8192                  632.87          77254.41
16384                 793.62          48438.67
32768                 916.01          27954.36
65536                1355.76          20687.26
131072               1639.01          12504.67
262144               1734.94           6618.26
524288               1804.39           3441.60
1048576              1840.17           1754.92
2097152              1855.31            884.68
4194304              1864.41            444.51
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         248076.46
2                       0.56         279382.32
4                       1.12         280850.78
8                       2.24         280006.38
16                      4.67         291882.09
32                      8.38         261817.96
64                     16.65         260134.53
128                    29.68         231881.97
256                    56.59         221063.37
512                   112.53         219780.96
1024                  206.46         201623.26
2048                  311.20         151955.02
4096                  457.45         111681.07
8192                  664.66          81134.77
16384                 838.34          51168.32
32768                 931.80          28436.26
65536                1349.27          20588.30
131072               1582.00          12069.71
262144               1639.12           6252.73
524288               1711.27           3263.99
1048576              1701.01           1622.21
2097152              1749.98            834.46
4194304              1708.87            407.43
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         249371.70
2                       0.50         251160.82
4                       1.03         258477.20
8                       2.13         266279.35
16                      4.40         274923.03
32                      8.51         265964.86
64                     17.25         269479.46
128                    33.67         263071.96
256                    63.32         247338.94
512                   120.15         234661.13
1024                  220.00         214847.56
2048                  388.89         189889.84
4096                  594.08         145038.81
8192                  763.46          93195.29
16384                 904.81          55225.00
32768                1000.72          30539.49
65536                1368.56          20882.52
131072               1577.86          12038.10
262144               1632.16           6226.18
524288               1663.35           3172.58
1048576              1678.86           1601.08
2097152              1683.65            802.83
4194304              1682.86            401.22
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         249289.71
2                       0.50         250820.59
4                       1.01         251336.69
8                       2.11         264240.51
16                      4.26         266245.00
32                      8.38         261878.96
64                     15.29         238891.27
128                    29.27         228670.65
256                    55.71         217603.12
512                    99.42         194184.58
1024                  178.37         174191.33
2048                  286.06         139676.40
4096                  486.64         118808.64
8192                  680.80          83105.33
16384                 840.07          51273.89
32768                 966.71          29501.72
65536                1416.44          21613.14
131072               1572.73          11998.99
262144               1638.58           6250.68
524288               1667.80           3181.08
1048576              1683.87           1605.86
2097152              1685.14            803.54
4194304              1685.86            401.94
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.29         285817.70
2                       0.58         292188.69
4                       1.16         289557.54
8                       2.25         281362.26
16                      4.61         287917.33
32                      8.62         269496.24
64                     16.98         265236.28
128                    32.25         251918.31
256                    57.38         224153.12
512                   110.05         214941.01
1024                  185.28         180939.66
2048                  304.59         148726.67
4096                  475.51         116092.31
8192                  666.31          81337.20
16384                 840.87          51322.45
32768                 950.62          29010.77
65536                1345.69          20533.55
131072               1538.36          11736.77
262144               1601.36           6108.72
524288               1800.78           3434.72
1048576              1731.17           1650.97
2097152              1650.23            786.89
4194304              1653.60            394.25
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         246507.79
2                       0.51         252832.33
4                       0.99         246898.09
8                       1.98         248094.97
16                      3.96         247206.28
32                      7.79         243583.04
64                     15.62         244068.72
128                    28.71         224284.45
256                    52.33         204431.95
512                    99.55         194434.52
1024                  180.30         176078.90
2048                  276.24         134884.59
4096                  392.64          95860.53
8192                  595.96          72749.61
16384                 754.43          46046.47
32768                 928.67          28340.65
65536                1355.53          20683.73
131072               1640.52          12516.21
262144               1748.39           6669.56
524288               1818.12           3467.79
1048576              1855.97           1769.99
2097152              1871.85            892.57
4194304              1764.79            420.76
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         280081.56
2                       0.58         291512.12
4                       1.11         276628.35
8                       2.19         274224.49
16                      4.70         293850.16
32                      8.82         275700.23
64                     17.05         266414.11
128                    30.36         237221.31
256                    57.75         225572.75
512                   107.21         209395.57
1024                  182.01         177742.39
2048                  314.23         153432.22
4096                  478.46         116810.44
8192                  679.68          82968.59
16384                 841.72          51374.45
32768                 942.91          28775.41
65536                1342.46          20484.32
131072               1578.53          12043.20
262144               1607.29           6131.31
524288               1636.61           3121.59
1048576              1654.90           1578.23
2097152              1671.11            796.85
4194304              1867.20            445.18
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         279828.47
2                       0.56         281126.90
4                       1.15         287727.47
8                       2.31         289263.34
