Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
128                     7.49          58500.10
256                    14.96          58431.48
512                    21.90          42773.80
1024                   43.88          42854.35
2048                   69.54          33956.18
4096                  137.80          33643.03
8192                  272.83          33304.43
16384                 540.36          32980.71
32768                1412.45          43104.68
65536                 804.02          12268.32
131072               1460.57          11143.26
262144               2004.37           7646.08
524288               2231.55           4256.33
1048576              2374.36           2264.37
2097152              2527.68           1205.29
4194304              2576.39            614.26
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          66806.76
2                       0.13          66829.29
4                       0.27          66851.91
8                       0.53          66822.62
16                      1.07          66714.95
32                      2.14          66726.24
64                      4.27          66751.81
128                     8.54          66750.33
256                    12.64          49391.25
512                    24.94          48717.88
1024                   50.04          48871.17
2048                   78.72          38436.62
4096                  155.98          38080.70
8192                  308.96          37715.29
16384                 612.70          37396.00
32768                1618.32          49387.09
65536                 909.08          13871.51
131072               1673.96          12771.31
262144               2255.15           8602.70
524288               2467.52           4706.41
1048576              2616.29           2495.09
2097152              2780.53           1325.86
4194304              2833.86            675.65
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58487.75
2                       0.12          58505.29
4                       0.23          58450.82
8                       0.47          58510.68
16                      0.94          58490.02
32                      1.87          58457.76
64                      3.74          58491.89
128                     7.48          58454.18
256                    11.05          43155.84
512                    21.80          42575.44
1024                   43.76          42730.24
2048                   69.03          33706.23
4096                  136.89          33421.44
8192                  271.29          33116.87
16384                 537.79          32824.06
32768                1000.52          30533.58
65536                 796.80          12158.23
131072               1468.03          11200.16
262144               2000.83           7632.57
524288               2213.01           4220.98
1048576              2367.95           2258.25
2097152              2524.41           1203.73
4194304              2567.19            612.07
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          59064.54
2                       0.12          59096.64
4                       0.24          59090.08
8                       0.47          59094.46
16                      0.94          58963.10
32                      1.89          58936.66
64                      3.76          58798.48
128                     7.54          58920.66
256                    11.23          43855.90
512                    22.25          43458.87
1024                   44.46          43413.88
2048                   70.30          34324.11
4096                  138.95          33922.53
8192                  275.97          33687.89
16384                 545.16          33273.90
32768                1016.53          31022.13
65536                 808.87          12342.43
131072               1477.30          11270.87
262144               2011.70           7674.01
524288               2230.13           4253.64
1048576              2380.28           2270.01
2097152              2534.45           1208.52
4194304              2598.34            619.49
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58590.57
2                       0.12          58549.23
4                       0.23          58596.55
8                       0.47          58588.84
16                      0.94          58547.36
32                      1.88          58631.77
64                      3.74          58437.51
128                     7.49          58494.74
256                    11.05          43160.58
512                    21.90          42768.59
1024                   43.81          42778.84
2048                   69.59          33980.50
4096                  137.90          33667.44
8192                  273.31          33362.85
16384                 539.96          32956.61
32768                1419.87          43330.88
65536                 805.31          12288.09
131072               1478.21          11277.84
262144               2013.11           7679.39
524288               2231.89           4256.98
1048576              2377.74           2267.59
2097152              2531.94           1207.33
4194304              2576.95            614.39
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58126.28
2                       0.12          58219.92
4                       0.23          58215.76
8                       0.47          58214.00
16                      0.93          58045.73
32                      1.86          58169.04
64                      3.72          58155.10
128                     7.44          58088.07
256                    11.03          43075.78
512                    23.74          46370.73
1024                   43.62          42602.22
2048                   68.96          33673.46
4096                  136.63          33356.62
8192                  271.92          33193.68
16384                 535.87          32707.03
32768                1407.78          42962.05
65536                 794.93          12129.65
131072               1462.70          11159.49
262144               1999.34           7626.86
524288               2214.05           4222.96
