Size,CNI,Nodes,Benchmark,Mean,Median,Std,Min,Max
8,baremetal,1,multi-latency,0.4966666666666667,0.48,0.04543531463621612,0.45,0.58
8,baremetal,2,bibw,6.587666666666666,6.615,0.1286718181328343,6.22,6.8
8,baremetal,2,bw,3.178,3.26,0.2657507258237728,2.68,3.48
8,baremetal,2,latency,20.437,20.5,0.2682658228774921,19.74,20.96
8,baremetal,2,latency_mp,33.203,33.295,3.3032107160280844,21.11,37.22
8,baremetal,2,mbw_mr,2.908,2.83,0.1276417400112653,2.76,3.19
8,baremetal,2,multi-latency,31.377666666666666,32.769999999999996,5.226493308026958,19.97,36.31
8,calico,1,bibw,0.879,0.88,0.006617635789938557,0.87,0.89
8,calico,1,bw,0.43,0.43,0.0,0.43,0.43
8,calico,1,latency,27.134999999999998,27.115000000000002,0.17529777621187193,26.94,27.71
8,calico,1,latency_mp,35.32633333333333,35.32,0.09932473155690207,35.15,35.53
8,calico,1,mbw_mr,0.37733333333333335,0.37,0.018181713688309974,0.37,0.43
8,calico,1,multi-latency,38.50966666666667,39.394999999999996,1.8624038662222382,34.64,39.67
8,calico,2,bibw,1.5173333333333334,1.52,0.005208304597621909,1.51,1.53
8,calico,2,bw,0.6963333333333334,0.7,0.026714755490543807,0.59,0.72
8,calico,2,latency,37.33233333333333,38.735,2.818210098789575,29.74,39.22
8,calico,2,latency_mp,67.09766666666667,66.945,0.4319058273260057,66.17,67.79
8,calico,2,mbw_mr,0.634,0.62,0.024579217461800588,0.62,0.69
8,calico,2,multi-latency,67.712,67.60499999999999,0.6416702343534201,65.53,68.54
8,cilium,1,bibw,1.5253333333333332,1.52,0.015477087254553384,1.5,1.56
8,cilium,1,bw,0.7563333333333334,0.76,0.009994251221140305,0.73,0.77
8,cilium,1,latency,17.137666666666668,17.08,0.14528647879118015,16.94,17.5
8,cilium,1,latency_mp,21.176333333333332,21.16,0.11466543035954797,20.97,21.36
8,cilium,1,mbw_mr,0.6900000000000001,0.68,0.03017192117824463,0.67,0.77
8,cilium,1,multi-latency,23.983,24.025,0.12932583815229343,23.58,24.17
8,cilium,2,bibw,5.263999999999999,5.325,0.24303540255804626,4.79,5.88
8,cilium,2,bw,2.459,2.46,0.0769841004632641,2.15,2.6
8,cilium,2,latency,35.678666666666665,37.879999999999995,3.0393666914437083,29.89,39.38
8,cilium,2,latency_mp,41.756,43.93,4.220953969636854,31.64,45.86
8,cilium,2,mbw_mr,2.2276666666666665,2.24,0.18821637096398003,1.91,2.66
8,cilium,2,multi-latency,43.376,44.64,3.963724824298305,37.07,57.2
8,flannel,1,bibw,1.0803333333333334,1.08,0.009278574999588503,1.06,1.09
8,flannel,1,bw,0.5266666666666667,0.53,0.0047946330148538685,0.52,0.53
8,flannel,1,latency,22.96966666666667,22.97,0.10073808078150151,22.7,23.15
8,flannel,1,latency_mp,29.263666666666666,29.215,0.17191584415423783,29.03,29.8
8,flannel,1,mbw_mr,0.47133333333333327,0.47,0.011665845619713506,0.45,0.53
8,flannel,1,multi-latency,33.120666666666665,33.1,0.1533068442886585,32.89,33.69
8,flannel,2,bibw,1.794,1.96,0.3070954024515778,1.23,1.98
8,flannel,2,bw,0.8373333333333334,0.84,0.07210783750664738,0.59,0.91
8,flannel,2,latency,35.416333333333334,38.06,4.012981936539025,26.03,39.03
8,flannel,2,latency_mp,70.86466666666666,67.735,23.949971093976274,46.22,195.61
8,flannel,2,mbw_mr,0.7793333333333334,0.785,0.03759432581299117,0.68,0.88
8,flannel,2,multi-latency,73.04966666666665,67.655,24.36785679358453,57.64,192.38
16,baremetal,1,bibw,156.611,156.06,18.579750258148582,118.64,188.69
16,baremetal,1,bw,138.27233333333334,139.35500000000002,2.690028436374932,129.65,141.13
16,baremetal,1,latency,0.455,0.45499999999999996,0.05197811210433711,0.39,0.52
16,baremetal,1,latency_mp,0.515,0.54,0.04561835686166942,0.44,0.58
16,baremetal,1,mbw_mr,133.30100000000002,133.345,1.531209461110113,129.15,136.9
16,baremetal,1,multi-latency,0.509,0.485,0.04830577890751858,0.46,0.6
16,baremetal,2,bibw,13.133666666666667,13.23,0.2687324439601256,12.29,13.45
16,baremetal,2,bw,5.781000000000001,5.78,0.17021993886207035,5.5,6.39
16,baremetal,2,latency,20.346999999999998,20.53,0.5469738063450444,18.69,20.97
16,baremetal,2,latency_mp,33.446,34.325,3.1369693259138085,21.02,36.19
16,baremetal,2,mbw_mr,5.941999999999999,6.015,0.2290821265172278,5.37,6.21
16,baremetal,2,multi-latency,31.111666666666668,33.4,5.47059984313221,19.2,36.2
16,calico,1,bibw,1.7466666666666666,1.74,0.015387709679981725,1.72,1.78
16,calico,1,bw,0.8623333333333334,0.86,0.004301830671520832,0.86,0.87
16,calico,1,latency,27.121333333333332,27.115000000000002,0.1284048912306457,26.89,27.59
16,calico,1,latency_mp,35.349666666666664,35.345,0.10463345984693444,35.13,35.5
16,calico,1,mbw_mr,0.7546666666666667,0.75,0.033808113016658085,0.7,0.85
16,calico,1,multi-latency,38.657666666666664,39.385,1.7564397441166721,34.67,39.86
16,calico,2,bibw,3.0166666666666666,3.02,0.010283342182227638,3.0,3.03
16,calico,2,bw,1.4029999999999998,1.41,0.03405371011231803,1.24,1.43
16,calico,2,latency,37.65266666666666,38.775000000000006,2.675798215851492,29.58,39.24
16,calico,2,latency_mp,66.92733333333334,66.92500000000001,0.6309922855057859,65.34,67.75
16,calico,2,mbw_mr,1.2710000000000001,1.25,0.05523304857757186,1.23,1.39
16,calico,2,multi-latency,67.72066666666667,67.57,0.5512989884923103,66.12,68.63
16,cilium,1,bibw,3.0386666666666664,3.035,0.03559671946656895,2.98,3.12
16,cilium,1,bw,1.5146666666666666,1.52,0.021452969143162273,1.45,1.54
16,cilium,1,latency,17.1,17.055,0.1392343596119568,16.95,17.44
16,cilium,1,latency_mp,21.078,21.1,0.0918544575908555,20.86,21.2
16,cilium,1,mbw_mr,1.3763333333333334,1.35,0.061782897607522494,1.33,1.54
16,cilium,1,multi-latency,23.995333333333335,24.03,0.13885575083600238,23.55,24.16
16,cilium,2,bibw,10.284666666666668,10.4,0.3519868074852782,9.53,11.09
16,cilium,2,bw,4.657,4.615,0.19534496454327618,4.36,5.2
16,cilium,2,latency,35.658,37.89,3.060444412172846,29.88,39.34
16,cilium,2,latency_mp,41.793,43.995000000000005,4.33112165929176,31.62,47.78
16,cilium,2,mbw_mr,4.471333333333334,4.529999999999999,0.2971094461448605,3.85,5.08
16,cilium,2,multi-latency,42.889,44.635,4.372860146639608,34.02,57.38
16,flannel,1,bibw,2.159,2.16,0.015165750888103062,2.13,2.19
16,flannel,1,bw,1.05,1.05,0.005252257314388901,1.04,1.06
16,flannel,1,latency,22.990000000000002,22.985,0.12684500452289682,22.68,23.38
16,flannel,1,latency_mp,29.28966666666667,29.23,0.16922711393849924,29.07,29.81
16,flannel,1,mbw_mr,0.9416666666666667,0.94,0.024925175381852207,0.92,1.07
16,flannel,1,multi-latency,33.111333333333334,33.11,0.09280061434596461,32.86,33.26
16,flannel,2,bibw,3.5373333333333337,3.86,0.6121693102139439,2.42,3.91
16,flannel,2,bw,1.7323333333333333,1.77,0.0991927184943474,1.37,1.82
16,flannel,2,latency,35.51433333333333,38.07,3.9599222243610424,26.02,39.0
16,flannel,2,latency_mp,70.874,67.63499999999999,23.91193247068833,46.22,195.4
16,flannel,2,mbw_mr,1.5713333333333332,1.5750000000000002,0.07142555001819931,1.36,1.76
16,flannel,2,multi-latency,72.886,67.6,23.992195512650383,57.01,190.48
32,baremetal,1,bibw,314.48400000000004,300.07000000000005,36.49166977213594,274.21,382.69
32,baremetal,1,bw,273.7006666666667,276.59000000000003,8.760883648288596,254.75,285.35
32,baremetal,1,latency,0.45266666666666666,0.45499999999999996,0.05212275519574346,0.39,0.52
32,baremetal,1,latency_mp,0.5163333333333333,0.54,0.04766863592106148,0.44,0.58
32,baremetal,1,mbw_mr,266.85433333333333,268.975,7.145349432025494,240.05,275.16
32,baremetal,1,multi-latency,0.5106666666666667,0.49,0.048985102121819196,0.46,0.61
32,baremetal,2,bibw,26.007333333333335,26.115000000000002,0.4819567396048893,24.19,26.52
32,baremetal,2,bw,11.956666666666667,12.0,0.25701648053066106,11.22,12.29
32,baremetal,2,latency,20.335333333333335,20.545,0.5838973299767899,18.71,21.02
32,baremetal,2,latency_mp,33.037333333333336,33.47,3.0582471126936186,19.25,35.91
32,baremetal,2,mbw_mr,11.787333333333333,12.02,0.7214923869091177,9.84,12.53
32,baremetal,2,multi-latency,31.144333333333332,32.22,5.131875830554544,19.19,36.26
32,calico,1,bibw,3.5069999999999997,3.505,0.036591877749595964,3.45,3.58
32,calico,1,bw,1.7246666666666668,1.725,0.006814453874610587,1.71,1.74
32,calico,1,latency,27.134999999999998,27.119999999999997,0.13698099540975847,26.91,27.62
32,calico,1,latency_mp,35.327666666666666,35.335,0.10503475068078659,35.08,35.47
32,calico,1,mbw_mr,1.5123333333333333,1.49,0.06526779494874374,1.47,1.71
32,calico,1,multi-latency,38.66433333333334,39.425,1.7496417038794034,34.71,39.83
32,calico,2,bibw,5.963,5.97,0.024090347186917337,5.91,6.01
32,calico,2,bw,2.8216666666666663,2.825,0.023792686986193575,2.77,2.87
32,calico,2,latency,37.181666666666665,38.845,3.1024818578294555,29.65,39.3
32,calico,2,latency_mp,67.134,66.965,0.5089515931185686,65.26,67.82
32,calico,2,mbw_mr,2.5373333333333337,2.49,0.10853041313250701,2.47,2.78
32,calico,2,multi-latency,67.741,67.595,0.5664063972948683,66.06,68.54
32,cilium,1,bibw,6.035666666666667,6.04,0.057336474118730045,5.95,6.14
32,cilium,1,bw,3.027,3.04,0.04219413262037988,2.91,3.09
32,cilium,1,latency,17.098333333333336,17.07,0.14503467678891271,16.91,17.45
32,cilium,1,latency_mp,21.11866666666667,21.145,0.09690853609365947,20.85,21.22
32,cilium,1,mbw_mr,2.7543333333333333,2.71,0.12571679539217565,2.67,3.09
32,cilium,1,multi-latency,23.996,24.03,0.1394471844153886,23.52,24.17
32,cilium,2,bibw,19.740666666666666,19.625,0.6428274468601833,18.91,22.36
32,cilium,2,bw,8.697,8.629999999999999,0.36121585866587363,8.32,10.24
32,cilium,2,latency,35.668,37.93,3.0545324152580315,29.91,39.15
32,cilium,2,latency_mp,41.80866666666667,43.894999999999996,4.285428183115857,31.95,47.37
32,cilium,2,mbw_mr,8.575666666666667,8.66,0.641784598805836,7.45,10.06
32,cilium,2,multi-latency,42.736,44.629999999999995,4.551504184863239,32.45,57.11
32,flannel,1,bibw,4.307333333333333,4.31,0.03859009461375864,4.21,4.37
32,flannel,1,bw,2.102333333333333,2.1,0.010063019815944516,2.08,2.12
32,flannel,1,latency,22.971999999999998,22.98,0.1003236142999589,22.68,23.14
32,flannel,1,latency_mp,29.273333333333333,29.23,0.12650019308512786,29.08,29.61
32,flannel,1,mbw_mr,1.883,1.875,0.04935095988305911,1.86,2.14
32,flannel,1,multi-latency,33.103,33.1,0.10106843021540843,32.86,33.3
32,flannel,2,bibw,7.074333333333333,7.715,1.2272191253436346,4.84,7.81
32,flannel,2,bw,3.5236666666666663,3.57,0.11955328730631845,3.21,3.64
32,flannel,2,latency,35.590333333333334,38.09,3.7570388957752114,26.07,39.04
32,flannel,2,latency_mp,71.03566666666667,67.86,23.76876966965677,46.27,194.77
32,flannel,2,mbw_mr,3.1626666666666665,3.15,0.15290144072150735,2.72,3.53
32,flannel,2,multi-latency,73.20966666666666,67.765,24.408006103613275,58.46,194.06
64,baremetal,1,bibw,456.2393333333333,458.72,9.275687513633414,437.73,469.46
64,baremetal,1,bw,439.8813333333334,442.4,10.622254366004018,409.08,454.62
64,baremetal,1,latency,0.473,0.47,0.05706318337204583,0.41,0.54
64,baremetal,1,latency_mp,0.531,0.55,0.050742758953439805,0.45,0.59
64,baremetal,1,mbw_mr,418.704,421.315,10.953548189104504,386.47,431.56
64,baremetal,1,multi-latency,0.5253333333333333,0.5,0.04819023605020744,0.47,0.62
64,baremetal,2,bibw,50.30466666666667,50.510000000000005,0.745657466583191,48.08,51.41
64,baremetal,2,bw,21.62366666666667,21.595,0.3729887058781319,20.9,22.46
64,baremetal,2,latency,20.553,20.729999999999997,0.5453385534977647,18.84,21.14
64,baremetal,2,latency_mp,33.41466666666666,34.095,3.3947989969783277,21.24,36.29
64,baremetal,2,mbw_mr,20.308333333333334,19.835,1.0702725509576207,18.78,22.93
64,baremetal,2,multi-latency,31.967,34.08,5.274195575205495,21.34,36.29
64,calico,1,bibw,7.002666666666667,7.0,0.05895254276831966,6.92,7.16
64,calico,1,bw,3.4463333333333335,3.45,0.011290317283753138,3.43,3.46
64,calico,1,latency,27.120333333333335,27.13,0.08289932961474883,26.9,27.27
64,calico,1,latency_mp,35.301,35.305,0.09263759570461148,35.13,35.45
64,calico,1,mbw_mr,3.0193333333333334,2.98,0.13143592468899276,2.93,3.41
64,calico,1,multi-latency,38.92666666666666,39.485,1.5322404901125108,34.86,40.03
64,calico,2,bibw,11.910666666666666,11.915,0.04905544599337758,11.81,12.01
64,calico,2,bw,5.639333333333334,5.654999999999999,0.054578847319384075,5.53,5.72
64,calico,2,latency,36.977,38.9,3.480581748838093,29.68,39.39
64,calico,2,latency_mp,67.234,67.17,0.5229465588836744,65.71,67.94
64,calico,2,mbw_mr,5.077666666666667,4.985,0.2172188366337178,4.93,5.57
64,calico,2,multi-latency,67.79566666666666,67.71000000000001,0.7418461748411418,65.18,68.74
64,cilium,1,bibw,12.173666666666666,12.175,0.10656011200850139,11.98,12.38
64,cilium,1,bw,6.041333333333333,6.0649999999999995,0.08544945403805868,5.82,6.16
64,cilium,1,latency,17.108666666666668,17.05,0.14279798446692535,16.91,17.45
64,cilium,1,latency_mp,21.074666666666666,21.1,0.09220417124730473,20.87,21.18
64,cilium,1,mbw_mr,5.499333333333333,5.41,0.24671543475657606,5.34,6.15
64,cilium,1,multi-latency,23.990666666666666,24.04,0.13284508305524115,23.56,24.16
64,cilium,2,bibw,37.464666666666666,37.2,1.227112487700807,35.2,41.59
64,cilium,2,bw,16.844,16.59,0.8968627312028808,15.64,20.05
64,cilium,2,latency,36.208,38.510000000000005,3.0711925124087984,30.35,39.39
64,cilium,2,latency_mp,41.73766666666667,44.295,4.445945602326974,30.9,46.98
64,cilium,2,mbw_mr,16.599,16.674999999999997,0.988085400469357,14.87,20.02
64,cilium,2,multi-latency,43.382666666666665,45.035,4.767418829812478,33.81,58.53
64,flannel,1,bibw,8.627,8.63,0.0705226791597007,8.46,8.72
64,flannel,1,bw,4.202,4.21,0.0198962827926602,4.15,4.23
64,flannel,1,latency,22.996666666666666,23.01,0.10600368677171301,22.66,23.19
64,flannel,1,latency_mp,29.173000000000002,29.13,0.10687246669713836,29.02,29.49
64,flannel,1,mbw_mr,3.7616666666666663,3.745,0.09727612080136054,3.72,4.27
64,flannel,1,multi-latency,33.11566666666667,33.11,0.11886484162574155,32.89,33.49
64,flannel,2,bibw,14.272,15.575,2.4885065456185176,9.73,15.78
64,flannel,2,bw,7.084333333333333,7.135,0.19311749743638443,6.42,7.3
64,flannel,2,latency,36.28633333333333,38.644999999999996,3.7605781684362776,26.31,39.8
64,flannel,2,latency_mp,71.62566666666666,68.515,23.781400104273516,46.58,195.37
