Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          45772.10
2                       0.09          45783.50
4                       0.18          45751.02
8                       0.37          45669.17
16                      0.73          45816.71
32                      1.47          45815.04
64                      2.93          45746.88
128                     5.84          45622.24
256                    11.23          43868.62
512                    16.31          31847.06
1024                   32.63          31861.10
2048                   49.68          24255.47
4096                  101.31          24733.10
8192                  201.07          24545.24
16384                 402.32          24555.79
32768                 754.88          23037.07
65536                 611.79           9335.17
131072               1190.56           9083.29
262144               1624.08           6195.38
524288               1871.24           3569.10
1048576              2039.40           1944.92
2097152              2182.97           1040.92
4194304              2203.79            525.42
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46198.14
2                       0.09          46278.69
4                       0.18          46152.48
8                       0.37          46189.37
16                      0.74          46159.28
32                      1.48          46213.52
64                      2.95          46019.28
128                     5.90          46114.09
256                    10.93          42691.50
512                    16.43          32099.14
1024                   32.76          31991.73
2048                   51.53          25161.85
4096                  101.88          24873.68
8192                  202.56          24726.77
16384                 403.69          24639.44
32768                 755.70          23062.13
65536                 617.09           9416.07
131072               1194.12           9110.41
262144               1632.47           6227.38
524288               1883.11           3591.74
1048576              2040.59           1946.05
2097152              2181.05           1040.01
4194304              2214.47            527.97
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          53228.07
2                       0.11          53111.96
4                       0.21          53177.06
8                       0.43          53181.43
16                      0.85          53207.83
32                      1.70          53164.84
64                      3.41          53253.24
128                     6.78          52984.10
256                    13.56          52979.93
512                    18.80          36711.19
1024                   37.56          36684.37
2048                   58.90          28758.62
4096                  116.58          28462.67
8192                  231.76          28290.95
16384                 459.00          28015.40
32768                1436.85          43849.15
65536                 699.12          10667.79
131072               1349.45          10295.52
262144               1836.74           7006.61
524288               2099.78           4005.01
1048576              2265.97           2161.00
2097152              2418.61           1153.28
4194304              2437.37            581.11
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46709.75
2                       0.09          46701.79
4                       0.19          46743.17
8                       0.37          46732.55
16                      0.75          46744.20
32                      1.49          46686.70
64                      2.98          46585.13
128                     5.97          46630.48
256                    10.82          42275.98
512                    16.53          32279.85
1024                   33.04          32264.30
2048                   51.74          25263.59
4096                  102.51          25026.66
8192                  203.86          24884.70
16384                 403.88          24650.76
32768                 750.12          22891.82
65536                 618.26           9433.92
131072               1195.26           9119.13
262144               1635.08           6237.32
524288               1884.47           3594.34
1048576              2046.52           1951.71
2097152              2189.82           1044.19
4194304              2217.04            528.58
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46687.94
2                       0.09          46771.66
4                       0.19          46710.57
8                       0.37          46783.17
16                      0.75          46749.72
32                      1.50          46987.38
64                      2.98          46583.16
128                     5.97          46615.97
256                    11.90          46500.80
512                    16.59          32395.60
1024                   33.14          32362.92
2048                   51.95          25363.87
4096                  102.83          25104.45
8192                  204.54          24968.78
16384                 405.98          24779.05
32768                1246.86          38051.07
65536                 619.66           9455.32
131072               1189.85           9077.82
262144               1646.76           6281.90
524288               1877.29           3580.64
1048576              2036.30           1941.97
2097152              2185.20           1041.98
4194304              2213.42            527.72
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
