# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
[1721028822.507501571] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028822.512272532] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         380481.24
2                       0.74         369275.00
4                       1.41         351491.63
8                       2.97         371853.55
16                      6.18         386238.68
32                     12.46         389511.98
64                     21.45         335112.82
128                    46.33         361938.07
256                    94.68         369833.36
512                   170.15         332316.76
1024                  316.65         309224.35
2048                  595.10         290576.72
4096                 1027.35         250818.52
8192                 1468.98         179318.68
16384                1738.06         106082.90
32768                1916.65          58491.57
65536                2017.17          30779.54
131072               2456.53          18741.80
262144               3413.20          13020.34
524288               3795.38           7239.12
1048576              4198.25           4003.77
2097152              3764.56           1795.08
4194304              3979.75            948.85
[1721028840.283704914] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028840.299181974] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028840.310296397] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028840.326257100] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028840.336372676] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028840.352745242] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         361327.95
2                       0.66         331715.15
4                       1.37         343002.54
8                       2.82         352830.55
16                      6.03         376580.82
32                     12.06         376848.37
64                     19.81         309495.58
128                    42.64         333092.29
256                    82.26         321317.76
512                   161.42         315271.36
1024                  304.29         297161.97
2048                  572.07         279331.19
4096                  981.78         239691.92
8192                 1434.35         175091.10
16384                1723.67         105204.30
32768                1914.44          58424.07
65536                1758.12          26826.78
131072               2476.99          18897.90
262144               3065.95          11695.66
524288               3546.70           6764.80
1048576              4005.69           3820.13
2097152              3851.66           1836.61
4194304              3961.16            944.41
[1721028858.199438639] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028858.209601031] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028858.226057337] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028858.236710598] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028858.252431469] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028858.263070127] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         382929.80
2                       0.78         390384.75
4                       1.46         365238.39
8                       2.83         353212.73
16                      5.50         343834.19
32                     11.29         352911.44
64                     19.65         307046.89
128                    38.92         304025.93
256                    82.57         322541.92
512                   157.92         308440.83
1024                  299.22         292206.66
2048                  563.93         275358.14
4096                  972.54         237437.06
8192                 1412.61         172437.32
16384                1737.14         106026.42
32768                1910.14          58292.83
65536                1757.17          26812.30
131072               2614.26          19945.22
262144               3300.00          12588.49
524288               3725.73           7106.26
1048576              4113.15           3922.60
2097152              3720.93           1774.28
4194304              3876.64            924.26
[1721028876.176520027] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028876.185389535] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028876.203141335] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028876.212361620] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028876.229413954] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028876.238502749] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.35         352737.07
2                       0.68         341583.81
4                       1.32         329861.40
8                       2.83         353462.86
16                      5.99         374575.52
32                     12.05         376630.43
64                     19.84         309923.19
128                    41.56         324686.76
256                    82.26         321340.83
512                   161.46         315343.20
1024                  303.92         296793.40
2048                  564.82         275790.47
4096                  975.72         238214.03
8192                 1427.75         174285.95
16384                2175.44         132778.31
32768                2561.94          78184.22
65536                1896.46          28937.68
131072               3140.81          23962.46
262144               3192.12          12176.98
524288               3908.88           7455.59
1048576              4271.34           4073.47
2097152              4143.18           1975.62
4194304              4095.52            976.45
[1721028893.242286846] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028893.253630276] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028893.268880989] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028893.280418771] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028893.294937666] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028893.306670593] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         381885.89
2                       0.75         375884.61
4                       1.41         353332.13
8                       2.97         371611.40
16                      6.08         380302.27
32                     11.84         370068.08
64                     22.93         358251.46
128                    46.91         366456.94
256                    93.03         363407.91
512                   169.69         331427.71
1024                  326.25         318607.94
2048                  606.60         296190.85
4096                 1033.94         252427.79
8192                 1484.57         181222.53
16384                2257.64         137795.47
32768                2585.93          78916.20
65536                1772.24          27042.23
131072               2223.34          16962.76
262144               2225.69           8490.33
524288               3329.24           6350.02
1048576              4417.89           4213.23
2097152              4022.98           1918.31
4194304              4125.81            983.67
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.32         315172.60
2                       0.64         321721.29
4                       1.29         321988.93
8                       2.76         345606.13
16                      6.13         382951.62
32                     11.99         374648.78
64                     19.45         303915.21
128                    42.75         333972.14
256                    83.05         324424.09
512                   162.94         318238.58
1024                  304.63         297492.13
2048                  568.39         277533.70
4096                  980.56         239393.49
8192                 1376.00         167968.90
16384                2208.85         134817.75
32768                2533.42          77313.96
65536                1708.91          26075.82
131072               2476.24          18892.19
262144               3070.97          11714.81
524288               3276.44           6249.32
1048576              3846.74           3668.54
2097152              4001.94           1908.28
4194304              4054.24            966.61
[1721028928.693069910] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028928.697262343] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028928.720030757] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028928.724536607] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028928.746420564] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028928.751207660] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         379956.17
2                       0.75         374610.49
