Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
2048                  801.54
4096                 1327.85
8192                 1666.80
16384                1786.30
32768                1795.90
65536                1378.69
131072               1424.71
262144               1475.54
524288               1709.10
1048576              1733.03
2097152              1737.59
4194304              1735.54
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.33
4                       2.62
8                       5.26
16                     10.26
32                     20.21
64                     39.07
128                    70.34
256                   129.84
512                   235.96
1024                  399.32
2048                  688.83
4096                 1023.00
8192                 1277.44
16384                1163.97
32768                1236.55
65536                1201.72
131072               1262.53
262144               1378.81
524288               1575.31
1048576              1692.16
2097152              1672.53
4194304              1651.62
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.68
2                       1.34
4                       2.71
8                       5.30
16                     10.40
32                     19.78
64                     38.14
128                    69.47
256                   135.50
512                   239.56
1024                  460.02
2048                  787.12
4096                 1170.32
8192                 1415.49
16384                1276.30
32768                1349.60
65536                1107.46
131072               1188.10
262144               1414.03
524288               1697.31
1048576              1741.50
2097152              1746.50
4194304              1749.50
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.13
4                       2.36
8                       4.82
16                      9.64
32                     19.21
64                     37.20
128                    69.80
256                   125.24
512                   235.41
1024                  437.28
2048                  769.49
4096                 1223.64
8192                 1462.88
16384                1580.26
32768                1459.15
65536                1214.33
131072               1254.11
262144               1418.78
524288               1716.81
1048576              1738.65
2097152              1739.15
4194304              1741.56
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.33
4                       2.71
8                       5.32
16                     10.52
32                     20.18
64                     38.09
128                    68.97
256                   129.17
512                   226.96
1024                  406.41
2048                  679.85
4096                 1006.04
8192                 1323.46
16384                1221.36
32768                1246.51
65536                1234.50
131072               1293.60
262144               1401.22
524288               1584.75
1048576              1705.98
2097152              1709.58
4194304              1674.58
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.58
2                       1.15
4                       2.43
8                       4.79
16                      9.70
32                     19.23
64                     38.96
128                    71.65
256                   126.07
512                   236.53
1024                  500.05
2048                  918.80
4096                 1415.53
8192                 1809.79
16384                1732.09
32768                1673.79
65536                1441.65
131072               1465.65
262144               1595.75
524288               1721.14
1048576              1748.91
2097152              1727.46
4194304              1666.46
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.26
4                       2.65
8                       5.32
16                     10.51
32                     19.95
64                     37.90
128                    69.31
256                   127.53
512                   231.55
1024                  393.94
2048                  656.74
4096                  978.71
8192                 1293.88
16384                1230.06
32768                1264.49
65536                1234.60
131072               1268.51
262144               1327.14
524288               1514.05
1048576              1607.08
2097152              1585.72
4194304              1561.14
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.36
4                       2.69
8                       5.35
16                     10.33
32                     19.45
64                     36.01
128                    72.23
256                   131.19
512                   227.34
1024                  407.94
2048                  629.69
4096                  899.42
8192                 1561.72
16384                1892.85
32768                1424.23
65536                1175.14
131072               1205.02
262144               1413.74
524288               1728.48
1048576              1658.22
2097152              1660.22
4194304              1657.08
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.65
2                       1.30
4                       2.66
8                       5.30
16                     10.40
32                     19.92
64                     37.07
128                    69.20
256                   128.40
512                   231.93
1024                  416.30
2048                  687.97
4096                 1245.67
8192                 1786.73
16384                2116.47
32768                2121.09
65536                1249.06
131072               1284.40
262144               1389.17
524288               1645.14
1048576              1656.31
2097152              1656.29
4194304              1657.86
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.55
2                       1.17
4                       2.71
8                       5.41
16                     10.30
32                     19.65
64                     37.16
128                    66.46
256                   128.57
512                   230.18
1024                  415.17
2048                  681.84
4096                  925.53
8192                 1621.53
16384                1759.14
32768                1328.64
65536                1166.99
131072               1196.37
262144               1415.16
524288               1727.20
1048576              1750.94
