Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
4096                   22.70
8192                   23.27
16384                  25.18
32768                  58.50
65536                 116.69
131072                134.07
262144                178.44
524288                266.36
1048576               444.15
2097152               805.75
4194304              1727.17
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.09
2                      23.06
4                      23.08
8                      23.10
16                     23.01
32                     23.03
64                     23.05
128                    23.64
256                    23.13
512                    23.12
1024                   23.27
2048                   22.34
4096                   22.72
8192                   23.53
16384                  25.90
32768                  58.62
65536                 117.04
131072                134.15
262144                179.58
524288                268.36
1048576               445.11
2097152               803.36
4194304              1729.88
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.92
2                      22.91
4                      22.93
8                      22.93
16                     22.88
32                     22.93
64                     22.94
128                    22.94
256                    23.02
512                    23.06
1024                   23.11
2048                   22.05
4096                   22.68
8192                   23.32
16384                  33.99
32768                  36.22
65536                 125.07
131072                144.19
262144                177.80
524288                266.42
1048576               444.52
2097152               800.78
4194304              1730.10
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.08
2                      23.07
4                      23.07
8                      23.01
16                     23.06
32                     23.05
64                     23.07
128                    23.01
256                    23.13
512                    23.18
1024                   23.33
2048                   22.16
4096                   22.84
8192                   23.63
16384                  34.04
32768                  36.34
65536                 122.40
131072                133.98
262144                177.70
524288                266.20
1048576               450.33
2097152               800.10
4194304              1736.87
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.85
2                      22.84
4                      22.88
8                      22.84
16                     22.91
32                     22.92
64                     22.91
128                    22.88
256                    22.93
512                    23.00
1024                   23.16
2048                   22.12
4096                   22.84
8192                   23.79
16384                  25.52
32768                  58.79
65536                 116.81
131072                134.21
262144                177.55
524288                263.23
1048576               443.95
2097152               802.89
4194304              1728.50
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.02
2                      23.00
4                      23.01
8                      23.02
16                     22.99
32                     23.03
64                     23.07
128                    23.05
256                    23.10
512                    23.08
1024                   23.20
2048                   22.14
4096                   22.76
8192                   23.40
16384                  25.37
32768                  58.36
65536                 116.35
131072                134.32
262144                177.17
524288                264.23
1048576               455.61
2097152               796.28
4194304              1730.51
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
