Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          72829.38
2                       0.15          77374.41
4                       0.31          77565.00
8                       0.62          77492.73
16                      1.25          77939.98
32                      2.47          77292.34
64                      4.94          77222.91
128                     9.94          77691.78
256                    19.60          76556.77
512                    39.26          76671.80
1024                   79.64          77769.25
2048                  128.59          62789.55
4096                  257.34          62828.03
8192                  480.82          58693.56
16384                 787.08          48039.49
32768                1155.13          35251.63
65536                 905.02          13809.48
131072               1176.44           8975.52
262144               1364.81           5206.34
524288               1504.93           2870.42
1048576              1611.58           1536.92
2097152              1664.25            793.58
4194304              1682.64            401.17
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          55301.93
2                       0.16          80969.50
4                       0.35          86815.46
8                       0.69          86492.25
16                      1.39          86899.53
32                      2.78          86822.34
64                      5.55          86685.40
128                    11.17          87240.70
256                    22.23          86852.73
512                    42.85          83687.15
1024                   85.23          83228.79
2048                  150.45          73459.50
4096                  302.92          73954.82
8192                  536.91          65541.07
16384                 869.17          53050.10
32768                1251.82          38202.38
65536                 970.28          14805.28
131072               1256.77           9588.39
262144               1463.66           5583.44
524288               1552.08           2960.36
1048576              1616.71           1541.81
2097152              1657.17            790.20
4194304              1670.35            398.24
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
